iter	Passed	Remaining
0	5280	1314747
1	10603	1314828
2	15143	1246824
3	20003	1230223
4	24403	1195752
5	28886	1174718
6	34174	1186327
7	38504	1164768
8	42980	1150925
9	46765	1122360
10	51044	1109067
11	55209	1094997
12	59959	1093109
13	64290	1083750
14	68364	1071039
15	72359	1058255
16	76524	1048840
17	80604	1038902
18	84446	1026697
19	88541	1018232
20	92552	1009260
21	96650	1001653
22	100650	993375
23	104674	985684
24	108734	978609
25	112786	971696
26	117194	967937
27	121279	961572
28	125324	955059
29	129403	948959
30	133452	942774
31	137488	936641
32	141618	931250
33	145701	925633
34	149839	920442
35	154015	915534
36	158162	910504
37	162260	905245
38	166292	899684
39	170413	894672
40	174536	889711
41	178618	884588
42	182675	879393
43	187038	875678
44	191368	871787
45	195488	866947
46	199910	863441
47	204092	858888
48	208250	854252
49	212505	850020
50	216770	845829
51	221554	843610
52	225965	839910
53	230192	835513
54	234524	831497
55	238739	827062
56	243023	822869
57	247332	818754
58	251643	814640
59	256054	810838
60	260455	806985
61	264803	802952
62	269319	799410
63	273622	795214
64	277932	791038
65	282228	786819
66	286546	782655
67	290803	778327
68	295097	774096
69	299476	770082
70	303692	765646
71	308201	761941
72	312440	757562
73	316908	753728
74	321231	749539
75	325733	745757
76	330649	742888
77	335211	739183
78	339610	735105
79	343949	730893
80	348245	726585
81	352782	722773
82	357174	718652
83	361576	714544
84	365933	710341
85	370580	706688
86	374932	702459
87	379369	698383
88	383796	694282
89	388240	690204
90	392374	685577
91	396865	681572
92	401514	677825
93	405649	673205
94	410303	669442
95	414554	665015
96	420357	663038
97	425669	660221
98	431757	658538
99	436989	655484
100	441854	651845
101	448563	650857
102	454332	648415
103	460867	646986
104	467512	645612
105	473159	642783
106	478377	639326
107	483451	635648
108	488616	632063
109	493623	628247
110	498284	623977
111	503107	619900
112	508450	616439
113	513080	612095
114	517649	607675
115	522345	603399
116	526875	598926
117	531306	594342
118	535675	589692
119	540154	585167
120	544531	580533
121	548995	575994
122	553717	571724
123	558255	567259
124	562806	562806
125	567377	558371
126	571996	553980
127	576309	549294
128	580472	544474
129	584639	539666
130	588765	534833
131	592859	529980
132	597009	525188
133	601077	520335
134	605119	515471
135	609140	510603
136	613114	505707
137	617072	500812
138	621035	495935
139	624933	491018
140	628758	486061
141	632631	481156
142	636494	476258
143	640411	471413
144	644322	466578
145	648308	461809
146	652278	457038
147	656147	452209
148	660059	447422
149	663977	442651
150	667923	437910
151	672102	433328
152	676018	428586
153	680020	423909
154	683912	419172
155	687914	414512
156	692058	409945
157	696043	405291
158	699999	400628
159	703978	395987
160	707942	391347
161	711983	386756
162	715919	382116
163	719835	377474
164	723790	372861
165	727717	368242
166	731667	363643
167	735606	359045
168	739586	354476
169	743523	349893
170	747504	345338
171	751395	340749
172	755389	336214
173	759367	331677
174	763367	327157
175	767374	322645
176	770482	317769
177	773377	312827
178	776302	307919
179	780390	303485
180	783223	298576
181	787346	294173
182	790250	289326
183	793034	284457
184	795911	279644
185	800049	275285
186	804126	270908
187	808124	266509
188	812177	262131
189	815095	257398
190	819227	253059
191	823537	248777
192	828085	244564
193	832475	240302
194	837029	236085
195	841620	231875
196	845126	227369
197	848107	222735
198	852408	218456
199	855470	213867
200	859424	209511
201	862743	205008
202	867017	200738
203	870010	196178
204	874079	191871
205	877365	187398
206	882218	183262
207	886547	179014
208	890498	174691
209	894264	170336
210	897981	165977
211	900652	161437
212	903445	156936
213	907279	152626
214	910018	148142
215	913948	143862
216	917976	139600
217	920882	135175
218	923802	130766
219	927860	126526
220	931689	122257
221	934496	117864
222	937456	113503
223	940586	109175
224	945127	105014
225	948435	100718
226	952895	96548
227	957438	92384
228	960123	88046
229	963539	83786
230	967140	79548
231	969794	75242
232	973372	71018
233	977224	66818
234	979868	62544
235	983482	58342
236	986179	54094
237	988709	49850
238	991283	45623
239	994391	41432
240	996821	37225
241	1000483	33073
242	1003873	28918
243	1007312	24769
244	1009631	20604
245	1013562	16480
246	1016005	12340
247	1018565	8214
248	1021167	4101
249	1024100	0
